id,cenario,ambiente,url,resultado,esperado,obtido,gravidade,evidencia,executado_em
T01,Primeira visita,producao,/,PASS,Landing + CTA,HTTP 200 + E2E,,playwright
T01,dashboard,producao,/dashboard,PASS,Auth anon + conteudo,E2E body > 100 chars,,playwright
T02,Lista >=3 live,producao,/markets?status=live,PASS,>=3 cards,data-testid market-card,,playwright
T02,Detalhe order box,producao,/markets/*,PASS,order-box visivel,data-testid,,playwright
T03,Saldo zero,producao,/markets/*,PASS,Botao disabled + aviso,Saldo insuficiente E2E,,bet-flow
T04,Liquidacao,producao,,MANUAL,Payout admin/cron,Requer admin settle,,manual
T05,Perdedor,producao,,MANUAL,payout=0,Pos-settle,,manual
T06,Check-in 2x,producao,,MANUAL,2o bloqueado,DailyPulse RPC,,manual
T07,Roleta 2x,producao,,MANUAL,2o ja girou,casino_daily_spin,,manual
T08,Partner ref,/r/invalid,producao,PASS,Redirect,E2E,,playwright
T09,Comissao partner,producao,,MANUAL,ledger partner,2 users + settle,,manual
T10,Ligas,/leagues,producao,PASS,Rota 200,E2E,,playwright
T11,Admin,/admin,producao,PARCIAL,Shell settle,Shell OK settle manual,,playwright
T12,Email perfil,producao,,MANUAL,Toast bonus,grant_email_link_bonus,,manual
T13,Mobile 375,dashboard,producao,PASS,Bottom nav,E2E,,playwright
T14,Offline mid-bet,producao,,MANUAL,Erro amigavel,DevTools,,manual
T15,Double-click,producao,,PASS,<=2 dialogs,E2E bet-flow,,playwright
UNIT,vitest,local,,PASS,10/10,10 passed,,npm test
E2E,full suite,producao,,PASS,25/25,playwright 2026-05-22,,playwright
PERF,Lighthouse landing,producao,/,VER,doc secao 13,LCP pos-deploy,,lighthouse
OPS,cron refresh,supabase,,PASS,refresh_demo_live_markets,job 6h migration 000003,,db push
OPS,cron lifecycle,supabase,,VER, tick_market_lifecycle,job 1min existente,,OPS_MARKETS.md
